Date,Meal,Block,Portion_Type,Served_Count,Avg_Weight_kg,Prepared_kg,Consumed_kg,Wasted_kg
2023-01-01,Lunch,A,Full,68,0.25,17.0,15.78,1.22
2023-01-01,Lunch,A,Half,65,0.2,13.0,12.02,0.98
2023-01-01,Lunch,A,Quarter,133,0.1,13.3,11.83,1.47
2023-01-01,Lunch,B,Full,93,0.25,23.25,20.66,2.59
2023-01-01,Lunch,B,Half,88,0.2,17.6,13.72,3.88
2023-01-01,Lunch,B,Quarter,130,0.1,13.0,11.68,1.32
2023-01-01,Lunch,C,Full,148,0.25,37.0,32.9,4.1
2023-01-01,Lunch,C,Half,53,0.2,10.6,8.77,1.83
2023-01-01,Lunch,C,Quarter,150,0.1,15.0,14.44,0.56
2023-01-01,Lunch,D,Full,111,0.25,27.75,27.26,0.49
2023-01-01,Lunch,D,Half,65,0.2,13.0,9.78,3.22
2023-01-01,Lunch,D,Quarter,123,0.1,12.3,10.18,2.12
2023-01-01,Dinner,A,Full,107,0.25,26.75,23.44,3.31
2023-01-01,Dinner,A,Half,88,0.2,17.6,13.66,3.94
2023-01-01,Dinner,A,Quarter,124,0.1,12.4,9.41,2.99
2023-01-01,Dinner,B,Full,89,0.25,22.25,21.48,0.77
2023-01-01,Dinner,B,Half,99,0.2,19.8,17.81,1.99
2023-01-01,Dinner,B,Quarter,64,0.1,6.4,4.86,1.54
2023-01-01,Dinner,C,Full,65,0.25,16.25,15.83,0.42
2023-01-01,Dinner,C,Half,81,0.2,16.2,13.19,3.01
2023-01-01,Dinner,C,Quarter,87,0.1,8.7,6.64,2.06
2023-01-01,Dinner,D,Full,53,0.25,13.25,11.71,1.54
2023-01-01,Dinner,D,Half,72,0.2,14.4,11.73,2.67
2023-01-01,Dinner,D,Quarter,108,0.1,10.8,8.62,2.18
2023-01-02,Lunch,A,Full,69,0.25,17.25,14.59,2.66
2023-01-02,Lunch,A,Half,118,0.2,23.6,22.59,1.01
2023-01-02,Lunch,A,Quarter,116,0.1,11.6,8.99,2.61
2023-01-02,Lunch,B,Full,147,0.25,36.75,35.1,1.65
2023-01-02,Lunch,B,Half,42,0.2,8.4,7.57,0.83
2023-01-02,Lunch,B,Quarter,138,0.1,13.8,10.69,3.11
2023-01-02,Lunch,C,Full,65,0.25,16.25,15.56,0.69
2023-01-02,Lunch,C,Half,150,0.2,30.0,29.46,0.54
2023-01-02,Lunch,C,Quarter,69,0.1,6.9,6.04,0.86
2023-01-02,Lunch,D,Full,79,0.25,19.75,18.29,1.46
2023-01-02,Lunch,D,Half,87,0.2,17.4,14.79,2.61
2023-01-02,Lunch,D,Quarter,72,0.1,7.2,7.09,0.11
2023-01-02,Dinner,A,Full,142,0.25,35.5,33.42,2.08
2023-01-02,Dinner,A,Half,121,0.2,24.2,18.96,5.24
2023-01-02,Dinner,A,Quarter,92,0.1,9.2,9.07,0.13
2023-01-02,Dinner,B,Full,88,0.25,22.0,16.57,5.43
2023-01-02,Dinner,B,Half,109,0.2,21.8,21.06,0.74
2023-01-02,Dinner,B,Quarter,141,0.1,14.1,11.17,2.93
2023-01-02,Dinner,C,Full,96,0.25,24.0,23.37,0.63
2023-01-02,Dinner,C,Half,71,0.2,14.2,11.19,3.01
2023-01-02,Dinner,C,Quarter,85,0.1,8.5,6.67,1.83
2023-01-02,Dinner,D,Full,75,0.25,18.75,16.44,2.31
2023-01-02,Dinner,D,Half,122,0.2,24.4,21.74,2.66
2023-01-02,Dinner,D,Quarter,112,0.1,11.2,9.76,1.44
2023-01-03,Lunch,A,Full,40,0.25,10.0,9.99,0.01
2023-01-03,Lunch,A,Half,46,0.2,9.2,6.91,2.29
2023-01-03,Lunch,A,Quarter,87,0.1,8.7,7.6,1.1
2023-01-03,Lunch,B,Full,81,0.25,20.25,18.69,1.56
2023-01-03,Lunch,B,Half,95,0.2,19.0,14.46,4.54
2023-01-03,Lunch,B,Quarter,146,0.1,14.6,14.14,0.46
2023-01-03,Lunch,C,Full,68,0.25,17.0,15.94,1.06
2023-01-03,Lunch,C,Half,106,0.2,21.2,18.59,2.61
2023-01-03,Lunch,C,Quarter,123,0.1,12.3,9.58,2.72
2023-01-03,Lunch,D,Full,117,0.25,29.25,22.63,6.62
2023-01-03,Lunch,D,Half,104,0.2,20.8,16.54,4.26
2023-01-03,Lunch,D,Quarter,53,0.1,5.3,5.04,0.26
2023-01-03,Dinner,A,Full,95,0.25,23.75,23.41,0.34
2023-01-03,Dinner,A,Half,134,0.2,26.8,21.7,5.1
2023-01-03,Dinner,A,Quarter,68,0.1,6.8,6.15,0.65
2023-01-03,Dinner,B,Full,67,0.25,16.75,15.52,1.23
2023-01-03,Dinner,B,Half,42,0.2,8.4,8.09,0.31
2023-01-03,Dinner,B,Quarter,107,0.1,10.7,8.86,1.84
2023-01-03,Dinner,C,Full,85,0.25,21.25,18.95,2.3
2023-01-03,Dinner,C,Half,149,0.2,29.8,29.8,0.0
2023-01-03,Dinner,C,Quarter,88,0.1,8.8,7.86,0.94
2023-01-03,Dinner,D,Full,120,0.25,30.0,28.04,1.96
2023-01-03,Dinner,D,Half,67,0.2,13.4,11.92,1.48
2023-01-03,Dinner,D,Quarter,124,0.1,12.4,10.09,2.31
2023-01-04,Lunch,A,Full,145,0.25,36.25,32.98,3.27
2023-01-04,Lunch,A,Half,69,0.2,13.8,10.49,3.31
2023-01-04,Lunch,A,Quarter,79,0.1,7.9,6.0,1.9
2023-01-04,Lunch,B,Full,76,0.25,19.0,14.69,4.31
2023-01-04,Lunch,B,Half,149,0.2,29.8,25.25,4.55
2023-01-04,Lunch,B,Quarter,64,0.1,6.4,5.0,1.4
2023-01-04,Lunch,C,Full,142,0.25,35.5,32.14,3.36
2023-01-04,Lunch,C,Half,59,0.2,11.8,8.98,2.82
2023-01-04,Lunch,C,Quarter,96,0.1,9.6,9.29,0.31
2023-01-04,Lunch,D,Full,83,0.25,20.75,18.01,2.74
2023-01-04,Lunch,D,Half,141,0.2,28.2,25.48,2.72
2023-01-04,Lunch,D,Quarter,82,0.1,8.2,7.4,0.8
2023-01-04,Dinner,A,Full,112,0.25,28.0,25.36,2.64
2023-01-04,Dinner,A,Half,99,0.2,19.8,15.1,4.7
2023-01-04,Dinner,A,Quarter,105,0.1,10.5,10.24,0.26
2023-01-04,Dinner,B,Full,72,0.25,18.0,15.27,2.73
2023-01-04,Dinner,B,Half,124,0.2,24.8,19.29,5.51
2023-01-04,Dinner,B,Quarter,109,0.1,10.9,10.84,0.06
2023-01-04,Dinner,C,Full,114,0.25,28.5,23.02,5.48
2023-01-04,Dinner,C,Half,69,0.2,13.8,13.78,0.02
2023-01-04,Dinner,C,Quarter,134,0.1,13.4,12.12,1.28
2023-01-04,Dinner,D,Full,140,0.25,35.0,34.36,0.64
2023-01-04,Dinner,D,Half,104,0.2,20.8,16.5,4.3
2023-01-04,Dinner,D,Quarter,87,0.1,8.7,8.24,0.46
2023-01-05,Lunch,A,Full,43,0.25,10.75,10.37,0.38
2023-01-05,Lunch,A,Half,148,0.2,29.6,27.34,2.26
2023-01-05,Lunch,A,Quarter,70,0.1,7.0,6.03,0.97
2023-01-05,Lunch,B,Full,47,0.25,11.75,11.16,0.59
2023-01-05,Lunch,B,Half,44,0.2,8.8,6.78,2.02
2023-01-05,Lunch,B,Quarter,85,0.1,8.5,7.0,1.5
2023-01-05,Lunch,C,Full,110,0.25,27.5,27.23,0.27
2023-01-05,Lunch,C,Half,70,0.2,14.0,11.67,2.33
2023-01-05,Lunch,C,Quarter,123,0.1,12.3,9.34,2.96
2023-01-05,Lunch,D,Full,64,0.25,16.0,12.99,3.01
2023-01-05,Lunch,D,Half,126,0.2,25.2,24.68,0.52
2023-01-05,Lunch,D,Quarter,126,0.1,12.6,12.45,0.15
2023-01-05,Dinner,A,Full,96,0.25,24.0,20.88,3.12
2023-01-05,Dinner,A,Half,142,0.2,28.4,24.92,3.48
2023-01-05,Dinner,A,Quarter,95,0.1,9.5,9.13,0.37
2023-01-05,Dinner,B,Full,111,0.25,27.75,21.46,6.29
2023-01-05,Dinner,B,Half,40,0.2,8.0,7.77,0.23
2023-01-05,Dinner,B,Quarter,134,0.1,13.4,11.79,1.61
2023-01-05,Dinner,C,Full,99,0.25,24.75,24.12,0.63
2023-01-05,Dinner,C,Half,53,0.2,10.6,9.33,1.27
2023-01-05,Dinner,C,Quarter,117,0.1,11.7,11.08,0.62
2023-01-05,Dinner,D,Full,68,0.25,17.0,16.9,0.1
2023-01-05,Dinner,D,Half,109,0.2,21.8,20.87,0.93
2023-01-05,Dinner,D,Quarter,79,0.1,7.9,6.03,1.87
2023-01-06,Lunch,A,Full,142,0.25,35.5,30.98,4.52
2023-01-06,Lunch,A,Half,92,0.2,18.4,18.17,0.23
2023-01-06,Lunch,A,Quarter,87,0.1,8.7,8.4,0.3
2023-01-06,Lunch,B,Full,86,0.25,21.5,18.43,3.07
2023-01-06,Lunch,B,Half,78,0.2,15.6,12.22,3.38
2023-01-06,Lunch,B,Quarter,130,0.1,13.0,11.74,1.26
2023-01-06,Lunch,C,Full,90,0.25,22.5,20.48,2.02
2023-01-06,Lunch,C,Half,97,0.2,19.4,18.86,0.54
